example_id                                   | status | run_time        |
-------------------------------------------- | ------ | --------------- |
./spec/integration/user_index_spec.rb[1:1:1] | failed | 23.76 seconds   |
./spec/integration/user_index_spec.rb[1:1:2] | failed | 6.28 seconds    |
./spec/integration/user_index_spec.rb[1:1:3] | failed | 4.83 seconds    |
./spec/integration/user_index_spec.rb[1:1:4] | failed | 3.85 seconds    |
./spec/integration/user_show_spec.rb[1:1]    | failed | 0.02267 seconds |
./spec/integration/user_show_spec.rb[1:2]    | failed | 0.0327 seconds  |
./spec/integration/user_show_spec.rb[1:3]    | failed | 0.02115 seconds |
./spec/integration/user_show_spec.rb[1:4]    | failed | 0.02716 seconds |
./spec/integration/user_show_spec.rb[1:5]    | failed | 0.03229 seconds |
./spec/integration/user_show_spec.rb[1:6]    | failed | 0.02174 seconds |
./spec/integration/user_show_spec.rb[1:7]    | failed | 0.02411 seconds |
./spec/integration/user_show_spec.rb[1:8]    | failed | 0.02319 seconds |
